id,loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,zip_code,addr_state,dti,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,installment,default_risk,loan_status
1000010,1769, 36 months,16.07,D,D4,Driver,8 years,MORTGAGE,129269.63281689788,Source Verified,Jul-2017,credit_card,credit_card,869xx,VA,21.989128276737596,Nov-1996,781,785,1,10,1,26840,25.420443317443553,20,w,Individual,0,0,62.25,0,Fully Paid
1000011,3433, 60 months,7.66,A,A1,Director,10+ years,MORTGAGE,19100.861287479533,Not Verified,Oct-2017,small_business,small_business,107xx,VA,25.333874881868134,Jan-1990,677,681,0,18,0,20214,44.677963106212516,29,f,Individual,1,0,69.05,0,Fully Paid
1000012,6311, 36 months,11.85,C,C1,Engineer,1 year,MORTGAGE,31842.79118077917,Source Verified,Nov-2018,debt_consolidation,debt_consolidation,781xx,UT,29.690140558652907,Aug-1996,731,735,0,14,0,14849,6.579744002130328,16,f,Individual,1,0,209.16,0,Fully Paid
1000013,38819, 36 months,15.2,D,D1,nan,< 1 year,RENT,61205.55879474816,Not Verified,Jan-2017,debt_consolidation,debt_consolidation,696xx,WI,19.899459921772895,Jul-1993,700,704,0,9,0,14334,34.51800337142457,22,w,Individual,0,0,1349.48,1,Charged Off
1000014,18568, 60 months,23.07,F,F2,Director,7 years,MORTGAGE,37831.826966307235,Verified,Feb-2016,debt_consolidation,debt_consolidation,908xx,GA,10.760921569180525,Nov-1999,767,771,3,11,0,29223,29.73643994437516,22,f,Individual,1,1,524.19,0,Fully Paid
1000015,20769, 60 months,6.64,A,A2,Engineer,5 years,RENT,55210.2268597182,Not Verified,Apr-2017,credit_card,credit_card,142xx,LA,11.697802865541407,Jun-2001,806,810,1,12,0,7414,76.77733623684657,16,w,Individual,5,0,407.73,0,Fully Paid
1000016,29693, 60 months,18.37,E,E5,Engineer,1 year,MORTGAGE,80096.89804442882,Not Verified,Sep-2018,credit_card,credit_card,199xx,SD,26.033137828859264,Jun-1993,798,802,0,13,0,21286,36.86030761799175,24,w,Individual,2,0,760.0,0,Fully Paid
1000017,7396, 36 months,5.28,A,A5,Sales,2 years,MORTGAGE,43091.79745442764,Verified,Nov-2015,debt_consolidation,debt_consolidation,316xx,MD,17.055853051826354,Nov-2000,675,679,1,13,0,30063,95.49460462727804,14,w,Individual,1,0,222.6,0,Fully Paid
1000018,28480, 36 months,17.6,D,D1,Engineer,4 years,RENT,43200.8378918779,Source Verified,Nov-2017,debt_consolidation,debt_consolidation,634xx,IL,6.335111089542402,Feb-2000,677,681,0,10,0,43749,32.5389898975889,13,f,Individual,8,0,1023.91,0,Fully Paid
1000019,26658, 36 months,16.03,D,D5,Engineer,< 1 year,MORTGAGE,51246.24924901562,Verified,Jul-2017,major_purchase,major_purchase,910xx,RI,0.15541973961427757,Jul-2002,821,825,1,10,0,12511,7.241282521871217,19,w,Individual,9,0,937.61,0,Fully Paid
1000020,19942, 36 months,21.24,E,E2,Sales,1 year,OWN,101459.145200397,Not Verified,May-2018,home_improvement,home_improvement,107xx,VA,10.39983170849851,Oct-1993,848,852,1,11,0,44529,76.8192376461896,22,w,Individual,7,0,753.78,0,Fully Paid
1000021,19431, 36 months,15.63,D,D5,Driver,10+ years,RENT,87769.24489008974,Source Verified,Sep-2015,educational,educational,484xx,RI,30.22238507647313,Feb-1995,735,739,0,4,0,46629,16.44024253620482,4,f,Individual,0,0,679.59,1,Charged Off
1000022,3747, 36 months,12.05,C,C4,Project Manager,nan,MORTGAGE,97226.57295975985,Source Verified,Jan-2018,debt_consolidation,debt_consolidation,717xx,LA,26.589227197324647,Apr-1990,799,803,1,15,0,28075,40.89944265500068,34,f,Individual,6,0,124.54,0,Fully Paid
1000023,1189, 36 months,9.86,B,B2,Sales,< 1 year,RENT,65695.15635118567,Verified,Apr-2016,debt_consolidation,debt_consolidation,632xx,VA,3.9033603372785786,Nov-2002,813,817,2,11,0,9264,28.12124399698227,18,w,Individual,9,0,38.29,0,Fully Paid
1000024,20118, 36 months,6.7,A,A4,Teacher,10+ years,RENT,66672.08264454854,Verified,Jun-2015,credit_card,credit_card,879xx,AR,17.766744299296747,Apr-1990,752,756,0,11,0,1383,23.495950476654638,17,f,Individual,9,0,618.43,0,Fully Paid
1000025,36773, 60 months,15.69,D,D5,Driver,6 years,MORTGAGE,120703.33430618941,Not Verified,Jun-2015,home_improvement,home_improvement,372xx,ME,5.784433266040878,Feb-2006,732,736,1,15,0,7006,97.27662731996706,23,w,Individual,9,0,888.2,0,Fully Paid
1000026,2899, 60 months,22.77,F,F3,Supervisor,6 years,MORTGAGE,35876.83007462128,Source Verified,May-2017,small_business,small_business,597xx,MO,18.917459718656175,Mar-2000,817,821,0,5,0,39912,30.94262017401168,22,f,Individual,4,0,81.34,0,Fully Paid
1000027,2267, 60 months,15.29,D,D1,Project Manager,9 years,MORTGAGE,122501.30962430323,Source Verified,Sep-2018,debt_consolidation,debt_consolidation,584xx,UT,4.4272837778937735,Feb-1995,722,726,0,8,0,49194,63.221697715196,23,f,Individual,0,0,54.28,0,Fully Paid
1000028,32551, 60 months,19.78,E,E2,Driver,4 years,MORTGAGE,66520.858394897,Verified,Dec-2016,major_purchase,major_purchase,875xx,PA,27.177797277726064,Jun-1990,713,717,2,15,0,11599,82.94483862719213,18,f,Individual,5,0,858.42,1,Charged Off
1000029,12394, 36 months,10.97,B,B4,Engineer,9 years,RENT,61795.23529515863,Verified,Mar-2015,debt_consolidation,debt_consolidation,445xx,SC,23.35867525897944,Apr-2010,670,674,1,10,0,44408,75.64872171426413,23,f,Individual,7,0,405.59,0,Fully Paid
1000030,4556, 60 months,13.96,C,C3,RN,5 years,MORTGAGE,44274.91088359238,Not Verified,Jul-2016,debt_consolidation,debt_consolidation,718xx,OH,10.360620339584337,May-2003,819,823,0,8,0,2816,25.8692571816431,13,f,Individual,4,0,105.92,0,Fully Paid
1000031,4890, 36 months,11.49,C,C3,Supervisor,2 years,MORTGAGE,124059.98598679995,Not Verified,Oct-2017,debt_consolidation,debt_consolidation,539xx,MD,39.69692982358729,Jan-2001,717,721,0,13,0,31436,98.51941537931381,32,f,Joint App,9,0,161.23,0,Fully Paid
1000032,31740, 60 months,7.19,A,A2,nan,10+ years,RENT,99541.65326886742,Source Verified,May-2015,other,other,444xx,OH,23.545605459748625,Oct-1997,787,791,1,7,0,48293,12.89565412513416,19,w,Individual,3,0,631.34,0,Fully Paid
1000033,15502, 60 months,13.34,C,C2,Manager,1 year,OWN,26638.64717597405,Verified,Apr-2017,debt_consolidation,debt_consolidation,479xx,TX,10.749573455442096,Sep-2004,831,835,1,6,1,17406,28.212969694257474,19,w,Individual,9,0,355.42,0,Fully Paid
1000034,22777, 60 months,20.29,E,E3,Manager,9 years,MORTGAGE,72896.75621020433,Not Verified,Mar-2015,credit_card,credit_card,798xx,FL,14.309795575669039,Jan-2007,774,778,1,8,0,9698,29.429728165027335,13,f,Individual,2,0,607.13,0,Fully Paid
1000035,11627, 36 months,12.9,C,C1,Engineer,8 years,MORTGAGE,38881.504367440175,Source Verified,Apr-2017,debt_consolidation,debt_consolidation,451xx,MO,36.646568137348694,May-1993,835,839,0,13,0,24194,47.39118373405279,29,w,Individual,5,0,391.2,0,Fully Paid
1000036,9792, 36 months,18.0,E,E1,Engineer,1 year,MORTGAGE,51096.35497107347,Not Verified,Aug-2016,debt_consolidation,debt_consolidation,422xx,MA,8.127761911410754,Aug-2002,718,722,0,9,0,37810,42.96927726924278,12,f,Individual,7,0,354.0,0,Fully Paid
1000037,9433, 36 months,20.17,E,E4,Sales,< 1 year,RENT,24244.713215628624,Source Verified,Jun-2015,home_improvement,home_improvement,936xx,NJ,8.150724482928982,May-1990,765,769,1,7,1,9157,33.777444724007296,26,w,Individual,8,0,351.38,0,Fully Paid
1000038,12016, 36 months,11.45,C,C1,Sales,8 years,RENT,65912.55486028537,Not Verified,Jul-2015,debt_consolidation,debt_consolidation,345xx,FL,22.822557165445637,Feb-1996,762,766,0,10,0,923,3.99560463746359,13,f,Individual,9,0,395.95,0,Fully Paid
1000039,24897, 36 months,20.95,E,E3,Driver,7 years,MORTGAGE,67929.5250760092,Verified,Feb-2017,home_improvement,home_improvement,469xx,CT,13.285519272404699,Dec-1995,769,773,1,9,0,35733,65.20538304224411,24,f,Individual,0,0,937.36,0,Fully Paid
1000040,3612, 36 months,11.78,C,C3,nan,7 years,MORTGAGE,70570.20201196703,Source Verified,May-2018,debt_consolidation,debt_consolidation,781xx,IN,12.167459781506981,Feb-1992,778,782,4,7,0,13192,82.53156883295883,19,w,Individual,2,0,119.59,0,Fully Paid
1000041,24483, 36 months,10.12,B,B5,Sales,6 years,MORTGAGE,47039.70494577078,Verified,Jan-2015,debt_consolidation,debt_consolidation,508xx,AK,16.41239999739338,Mar-2009,674,678,2,7,0,25338,1.2855678481260124,21,w,Joint App,1,1,791.38,0,Fully Paid
1000042,18159, 36 months,9.45,B,B3,Supervisor,8 years,MORTGAGE,50835.22668625719,Verified,Sep-2016,home_improvement,home_improvement,487xx,TN,33.244705321345755,Aug-2009,705,709,1,6,0,32722,84.16960759150084,16,w,Individual,2,0,581.26,0,Fully Paid
1000043,15541, 60 months,9.0,B,B1,Project Manager,10+ years,MORTGAGE,19400.606630339935,Source Verified,May-2018,major_purchase,major_purchase,725xx,NV,33.64046764242827,Oct-2008,789,793,0,11,0,3459,6.498542909495441,26,f,Individual,1,0,322.61,0,Fully Paid
1000044,36920, 36 months,19.74,E,E4,Engineer,2 years,RENT,106888.28076779444,Not Verified,Jun-2015,debt_consolidation,debt_consolidation,158xx,CO,26.63470595409037,Jun-2002,836,840,0,15,0,24620,12.210630824478185,17,w,Individual,3,0,1367.19,0,Fully Paid
1000045,27531, 36 months,22.75,F,F5,Director,7 years,MORTGAGE,20704.072094123698,Not Verified,Dec-2017,credit_card,credit_card,464xx,FL,23.0918623652879,Feb-1999,754,758,5,9,0,49148,23.219751143777945,28,f,Individual,3,0,1062.13,0,Fully Paid
1000046,2585, 60 months,9.61,B,B1,Teacher,< 1 year,RENT,76205.67003374208,Source Verified,Aug-2016,debt_consolidation,debt_consolidation,994xx,KS,0.6251874811995295,Aug-2005,664,668,3,8,2,43684,92.40058302444163,19,f,Individual,9,0,54.43,0,Fully Paid
1000047,4943, 36 months,6.7,A,A4,Director,< 1 year,MORTGAGE,52388.69571048494,Source Verified,Apr-2015,other,other,438xx,KY,22.60421617135283,Nov-2002,772,776,0,9,0,31599,95.62788174175235,21,w,Individual,0,0,151.95,0,Fully Paid
1000048,24939, 60 months,11.28,C,C1,Driver,10+ years,MORTGAGE,84639.10568325628,Verified,Jul-2018,house,house,925xx,UT,38.163557545645574,Sep-2008,812,816,1,5,0,39646,62.85507322227636,9,f,Individual,0,0,545.72,0,Fully Paid
1000049,20457, 36 months,18.16,E,E5,Project Manager,5 years,RENT,65710.75653245556,Source Verified,Oct-2015,debt_consolidation,debt_consolidation,202xx,CT,33.49308537549233,Nov-1995,707,711,1,9,0,30337,45.620830363283204,18,w,Individual,2,0,741.21,1,Charged Off
1000050,2021, 36 months,12.37,C,C3,Engineer,nan,MORTGAGE,33244.64463430388,Source Verified,May-2015,debt_consolidation,debt_consolidation,103xx,NE,5.776715232483829,Apr-1990,763,767,1,15,1,4255,27.922172102138532,17,w,Individual,7,0,67.48,0,Fully Paid
1000051,12653, 36 months,15.98,D,D5,Engineer,7 years,MORTGAGE,84235.33467283829,Source Verified,Nov-2015,other,other,567xx,VA,38.959006060015,Apr-1993,734,738,0,12,0,5125,61.45414397224908,15,w,Individual,5,0,444.72,1,Charged Off
1000052,14417, 36 months,19.89,E,E3,RN,7 years,MORTGAGE,58455.29027086609,Verified,Apr-2018,debt_consolidation,debt_consolidation,991xx,DE,8.665388840062853,Jun-2003,708,712,5,9,0,26658,20.01723755946976,20,f,Joint App,2,0,534.98,0,Fully Paid
1000053,10692, 36 months,13.17,C,C5,Director,9 years,MORTGAGE,52331.18096192632,Verified,Jul-2016,debt_consolidation,debt_consolidation,815xx,NH,4.9526087210410275,Mar-2009,712,716,1,9,0,37931,27.028723828202416,17,w,Individual,9,0,361.13,0,Fully Paid
1000054,7873, 36 months,24.99,F,F2,Supervisor,< 1 year,MORTGAGE,68827.24743573785,Verified,Nov-2016,debt_consolidation,debt_consolidation,511xx,WY,11.557515233663903,Jul-2003,724,728,0,8,0,47222,9.241211287835549,14,w,Individual,4,0,312.99,0,Fully Paid
1000055,6675, 36 months,10.96,B,B1,Director,10+ years,RENT,119986.04237387187,Verified,Jan-2015,credit_card,credit_card,842xx,VA,5.645747146636677,Aug-1994,697,701,1,8,1,39811,61.36688847790068,11,f,Individual,4,0,218.4,0,Fully Paid
1000056,1161, 36 months,24.56,F,F1,Sales,< 1 year,RENT,48445.17286219656,Source Verified,Jul-2016,credit_card,credit_card,955xx,MS,8.987162117991364,May-2010,742,746,0,18,0,38499,51.16089238694159,37,w,Individual,0,0,45.89,1,Charged Off
1000057,38065, 36 months,9.06,B,B2,Sales,8 years,RENT,75104.14660565113,Verified,May-2016,debt_consolidation,debt_consolidation,242xx,LA,12.352126114857377,Jan-2008,709,713,0,9,1,7329,91.41726048940161,19,w,Individual,1,0,1211.52,0,Fully Paid
1000058,27557, 36 months,7.22,A,A3,RN,8 years,RENT,68118.75196180677,Source Verified,Dec-2018,debt_consolidation,debt_consolidation,126xx,MO,23.631218468998906,Jul-2005,750,754,0,9,0,1802,88.64602025719037,12,f,Joint App,3,0,853.65,0,Fully Paid
1000059,34763, 36 months,20.02,E,E1,Teacher,6 years,RENT,46443.42571165346,Verified,Jul-2018,debt_consolidation,debt_consolidation,716xx,NV,24.5513756664236,Feb-1992,779,783,1,13,0,24112,25.552314531708888,16,f,Individual,6,0,1292.27,0,Fully Paid
1000060,33606, 36 months,19.05,E,E2,Sales,< 1 year,RENT,42218.56315847683,Source Verified,Oct-2018,debt_consolidation,debt_consolidation,225xx,FL,21.377480691664577,Oct-2009,742,746,1,10,0,32510,15.886775511114736,11,f,Individual,3,0,1232.71,0,Fully Paid
1000061,12534, 36 months,21.22,E,E1,Supervisor,9 years,MORTGAGE,32749.008402248623,Not Verified,Dec-2016,debt_consolidation,debt_consolidation,989xx,ND,11.92685416512127,May-2005,790,794,2,9,2,7600,29.895861077188602,26,f,Individual,8,0,473.64,0,Fully Paid
1000062,30127, 36 months,11.87,C,C4,Manager,1 year,RENT,81108.7475819748,Verified,Mar-2016,debt_consolidation,debt_consolidation,643xx,AL,38.136210242318704,Mar-1999,663,667,0,3,0,24350,29.066973498165936,8,f,Individual,7,0,998.78,1,Charged Off
1000063,26851, 36 months,23.62,F,F3,Project Manager,7 years,MORTGAGE,41982.77230099182,Source Verified,Sep-2018,debt_consolidation,debt_consolidation,386xx,DC,11.871963036683631,Jan-2001,765,769,0,13,1,25126,0.0730984429003656,16,w,Joint App,6,1,1048.09,0,Fully Paid
1000064,2016, 60 months,7.39,A,A4,Sales,7 years,RENT,28060.604583685195,Source Verified,Apr-2016,medical,medical,816xx,AK,16.041223429236805,May-1997,817,821,1,9,1,39632,78.79711690628866,19,w,Individual,5,0,40.29,0,Fully Paid
1000065,25253, 36 months,5.61,A,A3,Driver,10+ years,MORTGAGE,57957.74883088427,Verified,Aug-2018,debt_consolidation,debt_consolidation,869xx,IN,16.890683163074044,Jul-2009,776,780,0,9,0,33805,87.37997684352273,16,w,Individual,1,0,763.79,0,Fully Paid
1000066,25276, 60 months,11.01,C,C2,nan,4 years,MORTGAGE,107990.66947976196,Verified,Feb-2018,major_purchase,major_purchase,934xx,WY,0.8979622284635624,Jan-1990,660,664,1,9,0,38067,34.84640805896528,20,f,Individual,6,0,549.69,0,Fully Paid
1000067,24247, 60 months,20.95,E,E3,Teacher,1 year,MORTGAGE,120836.60698606914,Source Verified,Apr-2016,debt_consolidation,debt_consolidation,354xx,LA,17.15135199060432,Apr-2001,756,760,0,8,0,22517,19.504323553352787,15,w,Individual,4,0,655.28,0,Fully Paid
1000068,25300, 36 months,18.46,E,E3,Supervisor,2 years,RENT,10830.728605646396,Not Verified,Apr-2018,credit_card,credit_card,477xx,GA,13.533912414588261,Nov-2007,809,813,0,10,0,27629,33.84390367552679,27,f,Individual,6,0,920.5,0,Fully Paid
1000069,9529, 36 months,13.72,C,C2,Engineer,4 years,RENT,64606.11780895564,Verified,Sep-2017,small_business,small_business,562xx,CT,2.8281496751204616,Nov-2004,728,732,2,13,0,49860,85.38701396271061,32,f,Individual,4,0,324.38,0,Fully Paid
1000070,18262, 60 months,10.13,B,B3,Driver,2 years,RENT,82279.8009902511,Not Verified,Dec-2018,debt_consolidation,debt_consolidation,733xx,IL,32.44569423976333,May-1990,676,680,0,14,0,12943,21.101130349806173,17,w,Individual,3,0,389.18,1,Charged Off
1000071,10268, 60 months,6.19,A,A1,Supervisor,9 years,MORTGAGE,79877.8315655733,Source Verified,Jul-2016,credit_card,credit_card,802xx,MO,28.468702534972444,Oct-1998,691,695,0,13,0,35963,94.07768828963563,15,f,Individual,4,0,199.42,1,Charged Off
1000072,22271, 36 months,11.75,C,C5,Project Manager,< 1 year,OWN,57028.43903087334,Source Verified,Jul-2017,credit_card,credit_card,774xx,DE,11.338033044547387,Nov-1993,732,736,4,17,0,30104,37.84768255238481,29,f,Individual,1,0,737.06,0,Fully Paid
1000073,13185, 60 months,14.2,D,D2,Project Manager,5 years,MORTGAGE,157266.13441065134,Not Verified,May-2015,house,house,990xx,MN,10.424227535057891,Oct-2001,840,844,3,6,0,41736,81.6701052500426,9,f,Joint App,5,0,308.16,0,Fully Paid
1000074,22243, 60 months,18.74,E,E5,Sales,4 years,RENT,127748.7071583093,Verified,Oct-2016,debt_consolidation,debt_consolidation,586xx,KS,36.1890158765332,Dec-2010,838,842,0,5,0,2234,34.64071300078594,15,w,Individual,2,0,573.82,0,Fully Paid
1000075,9571, 36 months,17.92,D,D2,Supervisor,2 years,RENT,56877.6697470961,Source Verified,Aug-2018,debt_consolidation,debt_consolidation,627xx,WI,7.565403253759491,Oct-1991,763,767,2,5,0,42365,80.25639965696007,23,w,Individual,0,0,345.63,0,Fully Paid
1000076,39044, 60 months,23.95,F,F2,nan,8 years,MORTGAGE,46766.584277854476,Verified,Jan-2018,house,house,523xx,DC,34.94766848804281,Jul-1990,769,773,1,6,0,47543,91.84552043483816,13,f,Individual,5,0,1122.08,0,Fully Paid
1000077,3568, 36 months,7.01,A,A4,Director,9 years,MORTGAGE,73468.59039859792,Verified,Jan-2016,debt_consolidation,debt_consolidation,776xx,ID,3.1124059606629206,Aug-1998,802,806,0,11,0,11246,59.739200336207595,25,f,Individual,5,0,110.19,0,Fully Paid
1000078,3027, 36 months,11.73,C,C4,Supervisor,7 years,MORTGAGE,79935.79587219318,Not Verified,Dec-2015,vacation,vacation,292xx,FL,33.58196405711758,Mar-2005,674,678,0,13,0,8087,93.34384012755513,13,f,Individual,5,0,100.15,1,Charged Off
1000079,3695, 60 months,14.63,D,D3,Supervisor,6 years,OWN,61831.54334351781,Source Verified,Jan-2018,other,other,103xx,MA,21.66592082327833,Jan-1993,675,679,4,10,0,39415,26.160034257457987,19,f,Individual,3,0,87.19,1,Charged Off
1000080,6258, 60 months,18.41,E,E5,Manager,nan,OWN,65130.64866188125,Verified,Feb-2017,debt_consolidation,debt_consolidation,753xx,FL,31.034285625688042,Mar-2003,789,793,0,10,0,21530,22.855151007787743,18,f,Individual,8,0,160.31,0,Fully Paid
1000081,23002, 36 months,14.91,D,D2,Engineer,10+ years,MORTGAGE,150296.67335910175,Verified,Aug-2018,debt_consolidation,debt_consolidation,932xx,AL,3.7173874162371634,Jul-1998,813,817,0,10,0,45618,18.03601909392225,18,f,Individual,2,0,796.36,0,Fully Paid
1000082,34159, 36 months,23.26,F,F3,Sales,1 year,MORTGAGE,152729.9790512511,Verified,May-2015,debt_consolidation,debt_consolidation,429xx,CA,16.801392900865515,Jul-1996,767,771,0,11,0,36932,92.00276069005277,12,f,Individual,6,0,1326.92,0,Fully Paid
1000083,14986, 36 months,17.17,D,D1,Manager,9 years,MORTGAGE,95811.46910830584,Source Verified,Dec-2017,debt_consolidation,debt_consolidation,117xx,MD,18.013528427360246,Apr-2006,712,716,1,14,0,47543,60.93274559062035,21,f,Individual,1,0,535.56,1,Charged Off
1000084,13666, 60 months,5.79,A,A2,Director,4 years,MORTGAGE,104334.70506838284,Not Verified,Feb-2016,debt_consolidation,debt_consolidation,748xx,WA,20.612540960058613,Aug-1990,786,790,0,6,1,41305,32.557369168313286,8,f,Individual,5,0,262.87,0,Fully Paid
1000085,39660, 36 months,7.27,A,A1,Sales,4 years,OWN,100057.03934783163,Not Verified,Aug-2016,small_business,small_business,468xx,HI,25.11201143460482,Dec-2006,820,824,1,9,0,32624,33.60937710909915,17,f,Individual,7,0,1229.49,0,Fully Paid
1000086,4561, 60 months,20.07,E,E3,RN,5 years,OWN,53236.601583734264,Source Verified,Apr-2016,debt_consolidation,debt_consolidation,994xx,IL,15.575613765122625,Mar-2003,767,771,1,9,0,6301,57.0721791194585,27,f,Individual,5,0,121.02,0,Fully Paid
1000087,27854, 60 months,19.32,E,E4,Project Manager,5 years,MORTGAGE,78570.21923579632,Not Verified,Aug-2016,debt_consolidation,debt_consolidation,146xx,UT,17.897502177780492,Oct-2009,698,702,3,7,0,8501,0.06515642638357244,24,w,Individual,6,0,727.46,1,Charged Off
1000088,39952, 36 months,8.07,B,B3,RN,2 years,MORTGAGE,70136.68595275564,Not Verified,Aug-2017,debt_consolidation,debt_consolidation,926xx,NE,14.81067978749425,Apr-2005,769,773,0,9,0,13564,52.993399760202074,14,w,Individual,1,0,1253.24,0,Fully Paid
1000089,23662, 36 months,6.18,A,A1,RN,10+ years,RENT,125515.74824378628,Not Verified,Sep-2016,credit_card,credit_card,853xx,MT,27.946202342189892,May-2005,784,788,1,6,0,32826,19.233771377332744,12,f,Individual,9,0,721.78,0,Fully Paid
1000090,9392, 36 months,16.57,D,D2,Project Manager,3 years,MORTGAGE,71497.21101614561,Not Verified,Apr-2016,debt_consolidation,debt_consolidation,433xx,CO,36.33649778868208,Dec-2000,705,709,2,9,0,20193,19.140829130851046,20,w,Individual,7,0,332.84,1,Charged Off
1000091,31535, 36 months,17.71,D,D5,Teacher,< 1 year,OWN,100449.23197225023,Not Verified,Nov-2017,home_improvement,home_improvement,794xx,WI,4.572697900806246,Jan-2009,727,731,0,11,0,13052,88.33607520063727,29,w,Individual,4,0,1135.48,1,Charged Off
1000092,14067, 36 months,7.71,A,A3,Project Manager,10+ years,RENT,55795.92066307101,Verified,Oct-2016,debt_consolidation,debt_consolidation,554xx,LA,11.500368001894197,Oct-2007,728,732,0,10,1,23422,72.04907508898836,13,w,Joint App,9,0,438.93,0,Fully Paid
1000093,24599, 36 months,14.47,D,D2,nan,< 1 year,MORTGAGE,90963.69961201597,Source Verified,Mar-2018,major_purchase,major_purchase,339xx,CO,8.789933107008316,Dec-1996,756,760,1,15,0,659,96.68087502066862,20,f,Individual,1,0,846.36,0,Fully Paid
1000094,36222, 36 months,11.12,C,C4,Manager,4 years,MORTGAGE,70634.35398961285,Verified,Jan-2017,home_improvement,home_improvement,721xx,ID,37.574572436854574,Mar-1994,751,755,1,9,0,784,47.48095755511253,18,f,Individual,2,0,1187.92,0,Fully Paid
1000095,12837, 36 months,23.63,F,F4,Teacher,nan,ANY,38206.034462161064,Verified,Nov-2017,debt_consolidation,debt_consolidation,596xx,IN,23.778638227876655,Mar-1996,667,671,0,11,0,15246,17.120447765708214,24,w,Individual,4,0,501.14,1,Charged Off
1000096,15039, 36 months,9.38,B,B4,Sales,3 years,RENT,92673.00897866658,Source Verified,Apr-2017,debt_consolidation,debt_consolidation,509xx,MO,5.715720887776374,Feb-2004,681,685,0,3,0,38944,56.100828246860424,10,f,Individual,3,0,480.9,0,Fully Paid
1000097,31818, 36 months,19.67,E,E2,Teacher,6 years,MORTGAGE,111934.79141498571,Verified,Mar-2017,debt_consolidation,debt_consolidation,856xx,WY,15.917021024393181,Jun-2006,675,679,2,14,0,40235,66.20415423300253,20,w,Individual,9,0,1177.13,0,Fully Paid
1000098,20115, 36 months,15.36,D,D3,Supervisor,6 years,MORTGAGE,22301.7671142376,Not Verified,Oct-2015,debt_consolidation,debt_consolidation,727xx,DE,18.947664748943062,Aug-2002,767,771,1,16,0,3286,87.12765921475713,32,f,Individual,2,0,700.84,0,Fully Paid
